,date,province,total,admitted,deaths
521,2020-04-25,Limburg,3861,1443,581
522,2020-04-25,Noord-Brabant,7724,2455,1286
523,2020-04-25,Noord-Holland,5424,1481,557
524,2020-04-25,Overijssel,2574,526,239
525,2020-04-25,Utrecht,2636,774,305
526,2020-04-25,Zeeland,564,144,51
527,2020-04-25,Zuid-Holland,7642,1787,743
528,2020-04-26,Drenthe,452,106,28
529,2020-04-26,Flevoland,711,243,42
530,2020-04-26,Friesland,521,125,52
531,2020-04-26,Gelderland,4853,1238,526
532,2020-04-26,Groningen,327,72,12
533,2020-04-26,Limburg,3914,1457,590
534,2020-04-26,Noord-Brabant,7871,2469,1301
535,2020-04-26,Noord-Holland,5514,1489,567
536,2020-04-26,Overijssel,2621,526,244
537,2020-04-26,Utrecht,2709,776,309
538,2020-04-26,Zeeland,568,144,52
539,2020-04-26,Zuid-Holland,7784,1811,752
540,2020-04-27,Drenthe,464,106,28
541,2020-04-27,Flevoland,716,243,44
542,2020-04-27,Friesland,522,125,52
543,2020-04-27,Gelderland,4894,1242,530
544,2020-04-27,Groningen,327,72,12
545,2020-04-27,Limburg,3979,1465,596
546,2020-04-27,Noord-Brabant,7969,2480,1308
547,2020-04-27,Noord-Holland,5559,1493,572
548,2020-04-27,Overijssel,2630,530,244
549,2020-04-27,Utrecht,2735,791,315
550,2020-04-27,Zeeland,570,144,52
551,2020-04-27,Zuid-Holland,7880,1830,765
552,2020-04-28,Drenthe,464,106,28
553,2020-04-28,Flevoland,719,243,45
554,2020-04-28,Friesland,525,126,53
555,2020-04-28,Gelderland,4916,1258,538
556,2020-04-28,Groningen,327,72,12
557,2020-04-28,Limburg,3997,1474,598
558,2020-04-28,Noord-Brabant,8003,2513,1321
559,2020-04-28,Noord-Holland,5594,1498,578
560,2020-04-28,Overijssel,2635,530,247
561,2020-04-28,Utrecht,2757,801,318
562,2020-04-28,Zeeland,580,148,52
563,2020-04-28,Zuid-Holland,7899,1840,776
564,2020-04-29,Drenthe,468,113,31
565,2020-04-29,Flevoland,726,245,46
566,2020-04-29,Friesland,528,126,55
567,2020-04-29,Gelderland,4990,1272,558
568,2020-04-29,Groningen,328,73,13
569,2020-04-29,Limburg,4045,1480,609
570,2020-04-29,Noord-Brabant,8036,2518,1338
571,2020-04-29,Noord-Holland,5663,1515,602
572,2020-04-29,Overijssel,2665,532,249
573,2020-04-29,Utrecht,2777,813,325
574,2020-04-29,Zeeland,581,148,53
575,2020-04-29,Zuid-Holland,7995,1850,832
576,2020-04-30,Drenthe,474,114,31
577,2020-04-30,Flevoland,735,245,47
578,2020-04-30,Friesland,531,126,57
579,2020-04-30,Gelderland,5048,1285,568
580,2020-04-30,Groningen,331,74,13
