,date,province,total,admitted,deaths
564,2020-04-15,Drenthe,6,2,5
565,2020-04-15,Flevoland,13,5,1
566,2020-04-15,Fryslân,10,2,1
567,2020-04-15,Gelderland,115,16,24
568,2020-04-15,Groningen,5,0,0
569,2020-04-15,Limburg,43,13,15
570,2020-04-15,Noord-Brabant,113,28,40
571,2020-04-15,Noord-Holland,107,38,37
572,2020-04-15,Overijssel,53,10,9
573,2020-04-15,Utrecht,67,34,17
574,2020-04-15,Zeeland,5,0,3
575,2020-04-15,Zuid-Holland,193,43,33
576,2020-04-16,Drenthe,13,8,1
577,2020-04-16,Flevoland,22,8,1
578,2020-04-16,Fryslân,30,1,5
579,2020-04-16,Gelderland,124,22,17
580,2020-04-16,Groningen,4,0,0
581,2020-04-16,Limburg,99,20,14
582,2020-04-16,Noord-Brabant,206,19,58
583,2020-04-16,Noord-Holland,137,37,19
584,2020-04-16,Overijssel,91,5,7
585,2020-04-16,Utrecht,66,25,7
586,2020-04-16,Zeeland,2,1,2
587,2020-04-16,Zuid-Holland,275,34,54
588,2020-04-17,Drenthe,13,2,1
589,2020-04-17,Flevoland,49,2,0
590,2020-04-17,Fryslân,22,1,1
591,2020-04-17,Gelderland,161,27,20
592,2020-04-17,Groningen,6,0,1
593,2020-04-17,Limburg,135,13,13
594,2020-04-17,Noord-Brabant,176,26,32
595,2020-04-17,Noord-Holland,209,33,18
596,2020-04-17,Overijssel,117,3,6
597,2020-04-17,Utrecht,67,12,9
598,2020-04-17,Zeeland,20,6,1
599,2020-04-17,Zuid-Holland,259,32,42
600,2020-04-18,Drenthe,18,0,2
601,2020-04-18,Flevoland,48,1,0
602,2020-04-18,Fryslân,12,1,2
603,2020-04-18,Gelderland,170,15,19
604,2020-04-18,Groningen,3,2,0
605,2020-04-18,Limburg,118,14,14
606,2020-04-18,Noord-Brabant,194,18,33
607,2020-04-18,Noord-Holland,173,13,20
608,2020-04-18,Overijssel,56,11,4
609,2020-04-18,Utrecht,73,20,12
610,2020-04-18,Zeeland,10,1,0
611,2020-04-18,Zuid-Holland,311,33,38
612,2020-04-19,Drenthe,12,0,0
613,2020-04-19,Flevoland,19,4,0
614,2020-04-19,Fryslân,12,2,2
615,2020-04-19,Gelderland,195,13,8
616,2020-04-19,Groningen,5,0,0
617,2020-04-19,Limburg,97,11,7
618,2020-04-19,Noord-Brabant,174,14,21
619,2020-04-19,Noord-Holland,119,21,11
620,2020-04-19,Overijssel,73,4,1
621,2020-04-19,Utrecht,53,11,6
622,2020-04-19,Zeeland,13,2,0
623,2020-04-19,Zuid-Holland,251,26,24
624,2020-04-20,Drenthe,9,0,0
625,2020-04-20,Flevoland,5,1,1
626,2020-04-20,Fryslân,3,2,3
627,2020-04-20,Gelderland,144,19,9
628,2020-04-20,Groningen,4,0,0
629,2020-04-20,Limburg,81,3,9
630,2020-04-20,Noord-Brabant,161,6,16
631,2020-04-20,Noord-Holland,98,17,9
